animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
5540005,,YCVL,m,Larus fuscus,LBBG_IJMUIDEN,adult,910,harness,2020-01-01T00:00:00Z,52.465,4.576,,2019-05-24T08:10:00Z,,15809,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5433,UvA-BiTS,13.4,5433
5422589,,YASV,f,Larus fuscus,LBBG_IJMUIDEN,adult,780,harness,2020-06-24T00:00:00Z,52.465,4.576,,2019-05-24T07:45:00Z,,15810,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5369,UvA-BiTS,13.5,5369
5540006,,YCVM,m,Larus fuscus,LBBG_IJMUIDEN,adult,900,harness,2020-01-01T00:00:00Z,52.465,4.576,,2019-05-24T08:58:00Z,,15812,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5441,UvA-BiTS,13.5,5441
5470688,,YBJC,m,Larus fuscus,LBBG_IJMUIDEN,adult,900,harness,2020-07-12T10:30:00Z,52.465,4.576,,2019-05-24T09:15:00Z,,15813,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5491,UvA-BiTS,13.4,5491
5426659,,YAUT,f,Larus fuscus,LBBG_IJMUIDEN,adult,745,harness,2021-01-01T00:00:00Z,52.465,4.576,,2019-05-24T09:52:00Z,,15815,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5565,UvA-BiTS,13.5,5565
5540007,,YCVN,m,Larus fuscus,LBBG_IJMUIDEN,adult,780,harness,,52.465,4.576,,2019-05-24T10:15:00Z,,15817,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5579,UvA-BiTS,13.5,5579
5426711,,YBBJ,m,Larus fuscus,LBBG_IJMUIDEN,adult,890,harness,2020-05-26T00:00:00Z,52.465,4.576,,2019-05-24T11:07:00Z,dead,15818,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5584,UvA-BiTS,13.5,5584
5470706,,YBKW,f,Larus fuscus,LBBG_IJMUIDEN,adult,790,harness,,52.465,4.576,,2019-05-24T11:20:00Z,,15820,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5861,UvA-BiTS,13.7,5861
5470677,,YBHM,m,Larus fuscus,LBBG_IJMUIDEN,adult,850,harness,,52.465,4.576,,2019-05-24T11:43:00Z,,15821,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5962,UvA-BiTS,13.5,5962
5426671,,YAVL,f,Larus fuscus,LBBG_IJMUIDEN,adult,720,harness,2023-01-01T00:00:00Z,52.465,4.576,,2019-05-24T12:02:00Z,dead,15822,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5963,UvA-BiTS,13.4,5963
